Namespace(graph=True, log=True, mnh=True, steps=10000)
Hidden layer number of features: 512
This fold's validation data contains examples from following classes: [ 3.  7.  3.  7.  5.  3.  3.  7.  4.  8.  4.  2.  6.  2.  8.]
Training: Step 1, Minibatch Loss= 4.7522, Training Accuracy= 26.000
Validation: Step 7450, Minibatch Loss= 2.0567, Training Accuracy= 66.667
Training: Step 7500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7500, Minibatch Loss= 2.0686, Training Accuracy= 66.667
Training: Step 7550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7550, Minibatch Loss= 2.0671, Training Accuracy= 66.667
Training: Step 7600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7600, Minibatch Loss= 2.0667, Training Accuracy= 66.667
Training: Step 7650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7650, Minibatch Loss= 2.0696, Training Accuracy= 66.667
Training: Step 7700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7700, Minibatch Loss= 2.0747, Training Accuracy= 66.667
Training: Step 7750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7750, Minibatch Loss= 2.0773, Training Accuracy= 66.667
Training: Step 7800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7800, Minibatch Loss= 2.0831, Training Accuracy= 66.667
Training: Step 7850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7850, Minibatch Loss= 2.0823, Training Accuracy= 66.667
Training: Step 7900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7900, Minibatch Loss= 2.0826, Training Accuracy= 66.667
Training: Step 7950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7950, Minibatch Loss= 2.0858, Training Accuracy= 66.667
Training: Step 8000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8000, Minibatch Loss= 2.0904, Training Accuracy= 66.667
Training: Step 8050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8050, Minibatch Loss= 2.0918, Training Accuracy= 66.667
Training: Step 8100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8100, Minibatch Loss= 2.1007, Training Accuracy= 66.667
Training: Step 8150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8150, Minibatch Loss= 2.1055, Training Accuracy= 66.667
Training: Step 8200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8200, Minibatch Loss= 2.1105, Training Accuracy= 66.667
Training: Step 8250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8250, Minibatch Loss= 2.1146, Training Accuracy= 66.667
Training: Step 8300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8300, Minibatch Loss= 2.1103, Training Accuracy= 66.667
Training: Step 8350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8350, Minibatch Loss= 2.1163, Training Accuracy= 66.667
Training: Step 8400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8400, Minibatch Loss= 2.1165, Training Accuracy= 66.667
Training: Step 8450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8450, Minibatch Loss= 2.1244, Training Accuracy= 66.667
Training: Step 8500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8500, Minibatch Loss= 2.1308, Training Accuracy= 66.667
Training: Step 8550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8550, Minibatch Loss= 2.1305, Training Accuracy= 66.667
Training: Step 8600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8600, Minibatch Loss= 2.1337, Training Accuracy= 66.667
Training: Step 8650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8650, Minibatch Loss= 2.1391, Training Accuracy= 66.667
Training: Step 8700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8700, Minibatch Loss= 2.1408, Training Accuracy= 66.667
Training: Step 8750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8750, Minibatch Loss= 2.1525, Training Accuracy= 66.667
Training: Step 8800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8800, Minibatch Loss= 2.1611, Training Accuracy= 66.667
Training: Step 8850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8850, Minibatch Loss= 2.1639, Training Accuracy= 66.667
Training: Step 8900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8900, Minibatch Loss= 2.1670, Training Accuracy= 66.667
Training: Step 8950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8950, Minibatch Loss= 2.1692, Training Accuracy= 66.667
Training: Step 9000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9000, Minibatch Loss= 2.1713, Training Accuracy= 66.667
Training: Step 9050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9050, Minibatch Loss= 2.1716, Training Accuracy= 66.667
Training: Step 9100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9100, Minibatch Loss= 2.1713, Training Accuracy= 66.667
Training: Step 9150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9150, Minibatch Loss= 2.1759, Training Accuracy= 66.667
Training: Step 9200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9200, Minibatch Loss= 2.1756, Training Accuracy= 66.667
Training: Step 9250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9250, Minibatch Loss= 2.1761, Training Accuracy= 66.667
Training: Step 9300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9300, Minibatch Loss= 2.1770, Training Accuracy= 66.667
Training: Step 9350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9350, Minibatch Loss= 2.1743, Training Accuracy= 66.667
Training: Step 9400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9400, Minibatch Loss= 2.1676, Training Accuracy= 66.667
Training: Step 9450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9450, Minibatch Loss= 2.1715, Training Accuracy= 66.667
Training: Step 9500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9500, Minibatch Loss= 2.1766, Training Accuracy= 66.667
Training: Step 9550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9550, Minibatch Loss= 2.1818, Training Accuracy= 66.667
Training: Step 9600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9600, Minibatch Loss= 2.1848, Training Accuracy= 66.667
Training: Step 9650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9650, Minibatch Loss= 2.1901, Training Accuracy= 66.667
Training: Step 9700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9700, Minibatch Loss= 2.1850, Training Accuracy= 66.667
Training: Step 9750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9750, Minibatch Loss= 2.1921, Training Accuracy= 66.667
Training: Step 9800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9800, Minibatch Loss= 2.2029, Training Accuracy= 66.667
Training: Step 9850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9850, Minibatch Loss= 2.2055, Training Accuracy= 66.667
Training: Step 9900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9900, Minibatch Loss= 2.2112, Training Accuracy= 66.667
Training: Step 9950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9950, Minibatch Loss= 2.2168, Training Accuracy= 66.667
Training: Step 10000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 10000, Minibatch Loss= 2.2233, Training Accuracy= 66.667
Optimization Finished!
This fold's validation data contains examples from following classes: [ 1.  8.  5.  8.  2.  8.  4.  7.  2.  6.  6.  4.  2.  5.  5.]
Training: Step 1, Minibatch Loss= 2.9156, Training Accuracy= 44.000
Validation: Step 1, Minibatch Loss= 4.2679, Training Accuracy= 13.333
Training: Step 50, Minibatch Loss= 0.0090, Training Accuracy= 100.000
Validation: Step 50, Minibatch Loss= 1.6778, Training Accuracy= 53.333
Training: Step 100, Minibatch Loss= 0.0010, Training Accuracy= 100.000
Validation: Step 100, Minibatch Loss= 1.4421, Training Accuracy= 66.667
Training: Step 150, Minibatch Loss= 0.0008, Training Accuracy= 100.000
Validation: Step 150, Minibatch Loss= 1.3639, Training Accuracy= 73.333
Training: Step 200, Minibatch Loss= 0.0006, Training Accuracy= 100.000
Validation: Step 200, Minibatch Loss= 1.3678, Training Accuracy= 73.333
Training: Step 250, Minibatch Loss= 0.0004, Training Accuracy= 100.000
Validation: Step 250, Minibatch Loss= 1.3556, Training Accuracy= 66.667
Training: Step 300, Minibatch Loss= 0.0004, Training Accuracy= 100.000
Validation: Step 300, Minibatch Loss= 1.3792, Training Accuracy= 66.667
Training: Step 350, Minibatch Loss= 0.0003, Training Accuracy= 100.000
Validation: Step 350, Minibatch Loss= 1.3891, Training Accuracy= 66.667
Training: Step 400, Minibatch Loss= 0.0003, Training Accuracy= 100.000
Validation: Step 400, Minibatch Loss= 1.3782, Training Accuracy= 66.667
Training: Step 450, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 450, Minibatch Loss= 1.3963, Training Accuracy= 66.667
Training: Step 500, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 500, Minibatch Loss= 1.3693, Training Accuracy= 66.667
Training: Step 550, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 550, Minibatch Loss= 1.3855, Training Accuracy= 66.667
Training: Step 600, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 600, Minibatch Loss= 1.3988, Training Accuracy= 66.667
Training: Step 650, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 650, Minibatch Loss= 1.3919, Training Accuracy= 66.667
Training: Step 700, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 700, Minibatch Loss= 1.3959, Training Accuracy= 66.667
Training: Step 750, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 750, Minibatch Loss= 1.3981, Training Accuracy= 66.667
Training: Step 800, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 800, Minibatch Loss= 1.3924, Training Accuracy= 66.667
Training: Step 850, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 850, Minibatch Loss= 1.3993, Training Accuracy= 66.667
Training: Step 900, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 900, Minibatch Loss= 1.3950, Training Accuracy= 66.667
Training: Step 950, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 950, Minibatch Loss= 1.3927, Training Accuracy= 66.667
Training: Step 1000, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1000, Minibatch Loss= 1.3935, Training Accuracy= 66.667
Training: Step 1050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1050, Minibatch Loss= 1.3882, Training Accuracy= 66.667
Training: Step 1100, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1100, Minibatch Loss= 1.3913, Training Accuracy= 66.667
Training: Step 1150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1150, Minibatch Loss= 1.3815, Training Accuracy= 66.667
Training: Step 1200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1200, Minibatch Loss= 1.3871, Training Accuracy= 66.667
Training: Step 1250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1250, Minibatch Loss= 1.3812, Training Accuracy= 66.667
Training: Step 1300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1300, Minibatch Loss= 1.3633, Training Accuracy= 66.667
Training: Step 1350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1350, Minibatch Loss= 1.3817, Training Accuracy= 66.667
Training: Step 1400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1400, Minibatch Loss= 1.3729, Training Accuracy= 66.667
Training: Step 1450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1450, Minibatch Loss= 1.3710, Training Accuracy= 66.667
Training: Step 1500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1500, Minibatch Loss= 1.3718, Training Accuracy= 66.667
Training: Step 1550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1550, Minibatch Loss= 1.3728, Training Accuracy= 66.667
Training: Step 1600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1600, Minibatch Loss= 1.3817, Training Accuracy= 66.667
Training: Step 1650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1650, Minibatch Loss= 1.3734, Training Accuracy= 66.667
Training: Step 1700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1700, Minibatch Loss= 1.3700, Training Accuracy= 66.667
Training: Step 1750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1750, Minibatch Loss= 1.3856, Training Accuracy= 66.667
Training: Step 1800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1800, Minibatch Loss= 1.3798, Training Accuracy= 66.667
Training: Step 1850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1850, Minibatch Loss= 1.3864, Training Accuracy= 66.667
Training: Step 1900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1900, Minibatch Loss= 1.3803, Training Accuracy= 66.667
Training: Step 1950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1950, Minibatch Loss= 1.3871, Training Accuracy= 66.667
Training: Step 2000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2000, Minibatch Loss= 1.3861, Training Accuracy= 66.667
Training: Step 2050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2050, Minibatch Loss= 1.3897, Training Accuracy= 66.667
Training: Step 2100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2100, Minibatch Loss= 1.3926, Training Accuracy= 66.667
Training: Step 2150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2150, Minibatch Loss= 1.3915, Training Accuracy= 66.667
Training: Step 2200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2200, Minibatch Loss= 1.3884, Training Accuracy= 66.667
Training: Step 2250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2250, Minibatch Loss= 1.3839, Training Accuracy= 66.667
Training: Step 2300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2300, Minibatch Loss= 1.3871, Training Accuracy= 66.667
Training: Step 2350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2350, Minibatch Loss= 1.3853, Training Accuracy= 66.667
Training: Step 2400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2400, Minibatch Loss= 1.3996, Training Accuracy= 66.667
Training: Step 2450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2450, Minibatch Loss= 1.3956, Training Accuracy= 66.667
Training: Step 2500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2500, Minibatch Loss= 1.3944, Training Accuracy= 66.667
Training: Step 2550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2550, Minibatch Loss= 1.4000, Training Accuracy= 66.667
Training: Step 2600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2600, Minibatch Loss= 1.3965, Training Accuracy= 66.667
Training: Step 2650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2650, Minibatch Loss= 1.4048, Training Accuracy= 66.667
Training: Step 2700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2700, Minibatch Loss= 1.4058, Training Accuracy= 66.667
Training: Step 2750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2750, Minibatch Loss= 1.4096, Training Accuracy= 66.667
Training: Step 2800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2800, Minibatch Loss= 1.3999, Training Accuracy= 66.667
Training: Step 2850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2850, Minibatch Loss= 1.4052, Training Accuracy= 66.667
Training: Step 2900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2900, Minibatch Loss= 1.4089, Training Accuracy= 66.667
Training: Step 2950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2950, Minibatch Loss= 1.4143, Training Accuracy= 66.667
Training: Step 3000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3000, Minibatch Loss= 1.4227, Training Accuracy= 66.667
Training: Step 3050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3050, Minibatch Loss= 1.4220, Training Accuracy= 66.667
Training: Step 3100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3100, Minibatch Loss= 1.4306, Training Accuracy= 66.667
Training: Step 3150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3150, Minibatch Loss= 1.4305, Training Accuracy= 66.667
Training: Step 3200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3200, Minibatch Loss= 1.4378, Training Accuracy= 66.667
Training: Step 3250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3250, Minibatch Loss= 1.4389, Training Accuracy= 66.667
Training: Step 3300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3300, Minibatch Loss= 1.4463, Training Accuracy= 66.667
Training: Step 3350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3350, Minibatch Loss= 1.4488, Training Accuracy= 66.667
Training: Step 3400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3400, Minibatch Loss= 1.4519, Training Accuracy= 66.667
Training: Step 3450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3450, Minibatch Loss= 1.4557, Training Accuracy= 66.667
Training: Step 3500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3500, Minibatch Loss= 1.4471, Training Accuracy= 66.667
Training: Step 3550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3550, Minibatch Loss= 1.4571, Training Accuracy= 66.667
Training: Step 3600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3600, Minibatch Loss= 1.4606, Training Accuracy= 66.667
Training: Step 3650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3650, Minibatch Loss= 1.4617, Training Accuracy= 66.667
Training: Step 3700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3700, Minibatch Loss= 1.4623, Training Accuracy= 66.667
Training: Step 3750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3750, Minibatch Loss= 1.4640, Training Accuracy= 66.667
Training: Step 3800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3800, Minibatch Loss= 1.4685, Training Accuracy= 66.667
Training: Step 3850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3850, Minibatch Loss= 1.4666, Training Accuracy= 66.667
Training: Step 3900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3900, Minibatch Loss= 1.4670, Training Accuracy= 66.667
Training: Step 3950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3950, Minibatch Loss= 1.4690, Training Accuracy= 66.667
Training: Step 4000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4000, Minibatch Loss= 1.4668, Training Accuracy= 66.667
Training: Step 4050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4050, Minibatch Loss= 1.4666, Training Accuracy= 66.667
Training: Step 4100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4100, Minibatch Loss= 1.4599, Training Accuracy= 66.667
Training: Step 4150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4150, Minibatch Loss= 1.4675, Training Accuracy= 66.667
Training: Step 4200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4200, Minibatch Loss= 1.4673, Training Accuracy= 66.667
Training: Step 4250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4250, Minibatch Loss= 1.4650, Training Accuracy= 66.667
Training: Step 4300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4300, Minibatch Loss= 1.4693, Training Accuracy= 66.667
Training: Step 4350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4350, Minibatch Loss= 1.4744, Training Accuracy= 66.667
Training: Step 4400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4400, Minibatch Loss= 1.4762, Training Accuracy= 66.667
Training: Step 4450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4450, Minibatch Loss= 1.4774, Training Accuracy= 66.667
Training: Step 4500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4500, Minibatch Loss= 1.4719, Training Accuracy= 66.667
Training: Step 4550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4550, Minibatch Loss= 1.4722, Training Accuracy= 66.667
Training: Step 4600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4600, Minibatch Loss= 1.4762, Training Accuracy= 66.667
Training: Step 4650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4650, Minibatch Loss= 1.4788, Training Accuracy= 66.667
Training: Step 4700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4700, Minibatch Loss= 1.4814, Training Accuracy= 66.667
Training: Step 4750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4750, Minibatch Loss= 1.4809, Training Accuracy= 66.667
Training: Step 4800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4800, Minibatch Loss= 1.4704, Training Accuracy= 66.667
Training: Step 4850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4850, Minibatch Loss= 1.4724, Training Accuracy= 66.667
Training: Step 4900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4900, Minibatch Loss= 1.4740, Training Accuracy= 66.667
Training: Step 4950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4950, Minibatch Loss= 1.4740, Training Accuracy= 66.667
Training: Step 5000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5000, Minibatch Loss= 1.4757, Training Accuracy= 66.667
Training: Step 5050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5050, Minibatch Loss= 1.4820, Training Accuracy= 66.667
Training: Step 5100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5100, Minibatch Loss= 1.4829, Training Accuracy= 66.667
Training: Step 5150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5150, Minibatch Loss= 1.4806, Training Accuracy= 66.667
Training: Step 5200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5200, Minibatch Loss= 1.4861, Training Accuracy= 66.667
Training: Step 5250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5250, Minibatch Loss= 1.4881, Training Accuracy= 66.667
Training: Step 5300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5300, Minibatch Loss= 1.4899, Training Accuracy= 66.667
Training: Step 5350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5350, Minibatch Loss= 1.4950, Training Accuracy= 66.667
Training: Step 5400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5400, Minibatch Loss= 1.4972, Training Accuracy= 66.667
Training: Step 5450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5450, Minibatch Loss= 1.4930, Training Accuracy= 66.667
Training: Step 5500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5500, Minibatch Loss= 1.4968, Training Accuracy= 66.667
Training: Step 5550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5550, Minibatch Loss= 1.4969, Training Accuracy= 66.667
Training: Step 5600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5600, Minibatch Loss= 1.4957, Training Accuracy= 66.667
Training: Step 5650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5650, Minibatch Loss= 1.4995, Training Accuracy= 66.667
Training: Step 5700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5700, Minibatch Loss= 1.5042, Training Accuracy= 66.667
Training: Step 5750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5750, Minibatch Loss= 1.4963, Training Accuracy= 66.667
Training: Step 5800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5800, Minibatch Loss= 1.5029, Training Accuracy= 66.667
Training: Step 5850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5850, Minibatch Loss= 1.5087, Training Accuracy= 66.667
Training: Step 5900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5900, Minibatch Loss= 1.5082, Training Accuracy= 66.667
Training: Step 5950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5950, Minibatch Loss= 1.5088, Training Accuracy= 66.667
Training: Step 6000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6000, Minibatch Loss= 1.5133, Training Accuracy= 66.667
Training: Step 6050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6050, Minibatch Loss= 1.5114, Training Accuracy= 66.667
Training: Step 6100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6100, Minibatch Loss= 1.5151, Training Accuracy= 66.667
Training: Step 6150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6150, Minibatch Loss= 1.5236, Training Accuracy= 66.667
Training: Step 6200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6200, Minibatch Loss= 1.5271, Training Accuracy= 66.667
Training: Step 6250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6250, Minibatch Loss= 1.5277, Training Accuracy= 66.667
Training: Step 6300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6300, Minibatch Loss= 1.5233, Training Accuracy= 66.667
Training: Step 6350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6350, Minibatch Loss= 1.5347, Training Accuracy= 66.667
Training: Step 6400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6400, Minibatch Loss= 1.5452, Training Accuracy= 66.667
Training: Step 6450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6450, Minibatch Loss= 1.5448, Training Accuracy= 66.667
Training: Step 6500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6500, Minibatch Loss= 1.5378, Training Accuracy= 66.667
Training: Step 6550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6550, Minibatch Loss= 1.5274, Training Accuracy= 66.667
Training: Step 6600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
